PR_{101},PR_{102},PR_{103},PR_{104},PR_{105},PR_{106},PR_{107},PR_{108},PR_{109},PR_{110},PR_{111},PR_{112},PR_{113},PR_{114},PR_{115},PR_{116},PR_{117},PR_{118},PR_{119},PR_{120},PR_{121},PR_{122},PR_{123},PR_{124}
0.0, 0.0, 0.0, 0.0, 0.0, 0.08431868030213364, 0.0, 0.0, 0.0, 6.585357514748071e-9, 8.694983036082407e-10, 3.946938327992932e-10, 6.77711447694082e-10, 0.0, 0.0, 1.3675725829573972e-10, 0.0, 0.0, 1.3675025579148913e-10, 2.483867708341313e-9, 0.0, 0.0, 6.775638046946985e-10, 0.0 
0.0, 0.0, 0.0, 0.0, 0.0, 6.546457305124227e-9, 0.0, 0.08431994549023705, 0.0, 6.761535447964142e-9, 9.074778842250926e-10, 4.135338570058014e-10, 7.090011589577106e-10, 0.0, 0.0, 1.431399066916233e-10, 0.0, 0.0, 1.4313655090659905e-10, 2.5499523567985836e-9, 0.0, 0.0, 7.088463489463373e-10, 0.0 
0.0, 0.0, 0.0, 0.0, 0.0843261063111838, 6.46112144723225e-9, 0.0, 6.4612228492429525e-9, 0.0, 6.6726651941989025e-9, 8.884816549863417e-10, 4.041146563239142e-10, 6.933558936317143e-10, 0.0, 0.0, 1.3994701150105414e-10, 0.0, 0.0, 1.3994511081411563e-10, 2.516128505755703e-9, 0.0, 0.0, 6.932058515580303e-10, 0.0 
0.0, 0.0, 0.0, 0.0, 3.553312429757041e-9, 6.5480344235940435e-9, 0.0, 6.548137189632745e-9, 0.08432702324820043, 6.763112680081262e-9, 9.074792096899224e-10, 4.135343778233999e-10, 7.09002437268496e-10, 0.0, 0.0, 1.4313957336051676e-10, 0.0, 0.0, 1.4313837420333135e-10, 2.5515269293859718e-9, 0.0, 0.0, 7.088474125755387e-10, 0.0 
0.0, 0.0, 0.0, 0.0843314982202804, 3.5061940140082635e-9, 6.459542050030405e-9, 0.0, 6.4596434272537625e-9, 3.3821935898591286e-9, 6.671085910454258e-9, 8.884809694587784e-10, 4.041139703755523e-10, 6.933557187490052e-10, 0.0, 0.0, 1.3994632551137116e-10, 0.0, 0.0, 1.399444248244326e-10, 2.5145528065535446e-9, 0.0, 0.0, 6.932051660676785e-10, 0.0 
0.0, 0.08433696092263533, 0.0, 6.185488050570313e-9, 3.5077652836499488e-9, 6.46111474817377e-9, 0.0, 6.4612161500793375e-9, 3.3837657986586734e-9, 6.672658495763646e-9, 8.884809694591326e-10, 4.0411397037572794e-10, 6.933557187492968e-10, 0.0, 0.0, 1.399463255114307e-10, 0.0, 0.0, 1.3994442482449213e-10, 2.5161242765697344e-9, 0.0, 0.0, 6.932051660679701e-10, 0.0 
0.0843388928527196, 6.185902660019835e-9, 0.0, 6.185485331375821e-9, 3.5077650976413667e-9, 6.461112029410017e-9, 0.0, 6.461213431272916e-9, 3.383764669438137e-9, 6.672655777195169e-9, 8.884804793129485e-10, 4.0411348020336655e-10, 6.93355228619394e-10, 0.0, 0.0, 1.399458354879483e-10, 0.0, 0.0, 1.399439348010097e-10, 2.516122658007488e-9, 0.0, 0.0, 6.932046760444923e-10, 0.0 
6.103827278432619e-9, 6.103685170850068e-9, 0.08439993570710157, 6.10327338896538e-9, 3.4621746549400323e-9, 6.374104032832429e-9, 0.0, 6.3742040691760635e-9, 3.338427082760615e-9, 6.582110256566854e-9, 8.694629784985342e-10, 3.9468213389864885e-10, 6.776932634224805e-10, 0.0, 0.0, 1.3674741647433607e-10, 0.0, 0.0, 1.3674551578717195e-10, 2.480682827323157e-9, 0.0, 0.0, 6.775461116284356e-10, 0.0 
6.103735686765067e-9, 6.103593567167021e-9, 6.727868226575926e-9, 6.103181791462327e-9, 3.463700644861077e-9, 6.37558232605478e-9, 0.0, 6.375682385599016e-9, 3.339953301262267e-9, 6.583585188236711e-9, 8.694427047984891e-10, 3.946705919980262e-10, 6.77676033302425e-10, 0.0, 0.0, 1.3674158880320581e-10, 0.0, 0.0, 1.3673968542882873e-10, 2.482214262654922e-9, 0.0, 0.0, 6.775288852496642e-10, 0.08447698501504279 
6.186006952359743e-9, 6.185862847482431e-9, 6.819152251512211e-9, 6.18544552152435e-9, 3.5093239932823013e-9, 6.462647389192181e-9, 0.0, 6.462748815151294e-9, 3.385341141420988e-9, 6.674191026323794e-9, 8.884804766383914e-10, 4.0411347887688493e-10, 6.933552264167161e-10, 0.0, 0.0845240446928519, 1.3994583503798876e-10, 0.0, 0.0, 1.3994393435105017e-10, 2.5176736034186427e-9, 0.0, 0.0, 6.932046738422927e-10, 5.0513736180567895e-9 
