ssobja,fsobj,ssobjx,concrit,delta,delcrit
804.561621878064, 804.5552871589554, 804.562012844732, -7.873503950927381e-6, 0.05, 0.05813037883997617 
804.561621878064, 804.55528750867, 804.5620122145681, -7.873069286169435e-6, 0.05, 0.058045140442583736 
804.561621878064, 804.5552877318149, 804.5620118019997, -7.87279193640062e-6, 0.05, 0.05798927125783968 
804.561621878064, 804.5552879079352, 804.5620145514229, -7.872573034288457e-6, 0.05, 0.05837582350764699 
804.561621878064, 804.5552884303555, 804.5620135288112, -7.871923711307682e-6, 0.05, 0.058237175857267495 
804.561621878064, 804.555288931688, 804.5620132376655, -7.871300598730987e-6, 0.05, 0.05820074175636869 
804.561621878064, 804.5552891027077, 804.5620121951911, -7.871088036170496e-6, 0.05, 0.058056188017990236 
804.561621878064, 804.5552893558432, 804.5620153374074, -7.87077341071393e-6, 0.05, 0.05849842640759192 
804.561621878064, 804.555290914418, 804.5620086379768, -7.868836238014678e-6, 0.05, 0.0575730608194075 
804.561621878064, 804.555291537956, 804.5620100556268, -7.868061234640763e-6, 0.05, 0.05777726220200106 
804.561621878064, 804.5552921084052, 804.5620142492911, -7.867352216016697e-6, 0.05, 0.05836997884202497 
804.561621878064, 804.5552963058972, 804.5620097651081, -7.862135099172689e-6, 0.05, 0.057777522158798396 
804.561621878064, 804.5552965310264, 804.5620073508159, -7.861855283104197e-6, 0.05, 0.05744048539890668 
804.561621878064, 804.5552969184805, 804.5620085315015, -7.861373711457303e-6, 0.05, 0.05760961345246263 
804.561621878064, 804.5552983808698, 804.5620109203368, -7.85955608901032e-6, 0.05, 0.057957538857392514 
804.561621878064, 804.5552999175023, 804.5620134872472, -7.857646188605948e-6, 0.05, 0.05833099115281948 
804.561621878064, 804.5553002033419, 804.5620126476399, -7.857290914986883e-6, 0.05, 0.05821568906091753 
804.561621878064, 804.5553036602618, 804.5620136627535, -7.852994264730672e-6, 0.05, 0.05838815770865402 
804.561621878064, 804.5553042616323, 804.5620128451184, -7.852246813572552e-6, 0.05, 0.058278629068020366 
804.561621878064, 804.555304481123, 804.5620163369178, -7.851974005700744e-6, 0.05, 0.05877045932485307 
804.561621878064, 804.5553046513393, 804.562015107583, -7.851762441727387e-6, 0.05, 0.0585995197400364 
804.561621878064, 804.5553047318904, 804.5620170702836, -7.851662323723525e-6, 0.05, 0.0588754902590602 
804.561621878064, 804.5553048867392, 804.5620154173448, -7.851469860078218e-6, 0.05, 0.05864503093544786 
804.561621878064, 804.5553059309974, 804.5620166901966, -7.850171938152392e-6, 0.05, 0.05883270655915065 
804.561621878064, 804.555305939797, 804.5620152878816, -7.850161001030395e-6, 0.05, 0.05863607117025317 
804.561621878064, 804.5553063577869, 804.5620139792967, -7.849641476007358e-6, 0.05, 0.058456075120932774 
804.561621878064, 804.5553066286175, 804.5620139423961, -7.849304857188507e-6, 0.05, 0.058453255537503815 
804.561621878064, 804.5553066851658, 804.5620110931092, -7.849234572593402e-6, 0.05, 0.05805360333903762 
804.561621878064, 804.5553067834392, 804.5620173171701, -7.849112427314576e-6, 0.05, 0.05892811452512631 
804.561621878064, 804.5553069096486, 804.5620156651338, -7.848955559972828e-6, 0.05, 0.058697483431970815 
