w,theta
104.9377188733972, 62.5914323179578 
108.99073498766936, 63.54780767844042 
93.89315910621019, 60.98572431399312 
89.38533211774663, 60.223513864096134 
100.03154672461491, 62.22150533279094 
81.79488389083674, 54.52569120073118 
88.255660729823, 60.63872828448533 
102.21891067135408, 62.78910223195122 
92.93585542960957, 61.64629070798437 
93.27800222053457, 61.512430076639006 
88.3957486035905, 60.7296383483585 
84.46512856426406, 59.45671991149232 
88.35000498697303, 60.68969321957362 
88.26931078195473, 59.914825251967564 
92.8372609151263, 60.737738192755 
95.08633191807371, 59.35075296571666 
88.67883418382746, 58.852795897027924 
102.95742869171194, 61.75199963658036 
89.97242549434074, 60.791166162913576 
86.39846717422765, 56.430388471152334 
95.68630530430369, 61.15068109557111 
99.06581530880365, 61.491587897126685 
88.11768460687023, 59.43014802499661 
95.98856177891486, 60.72824344831264 
84.19521379727067, 59.24591536381483 
88.35611139729869, 58.99575418990611 
87.68438283096283, 59.52579924390429 
83.55523638287795, 59.017387181638824 
83.94622932490412, 56.24408463000132 
98.233217389412, 62.31806254308516 
91.4148273557347, 61.17757303546471 
85.58919900464586, 59.560697001572045 
97.53181326882071, 62.3658384678949 
92.98325487391621, 61.59166118306699 
91.17006527872968, 61.13884727537774 
83.85116620692179, 59.33915101452995 
94.27011277395422, 60.58978631419524 
92.2166117380958, 59.38325902102329 
87.43140444110097, 59.21354209473083 
91.7360910512624, 58.66873960479 
88.33635528062173, 59.236380280028484 
93.65139458794064, 60.63264974364138 
89.79869315405546, 59.752159874003056 
88.91055257690812, 58.97489462493462 
89.8072814992507, 60.49456207886068 
88.74317816834832, 60.23132380134725 
85.43806469537805, 58.927318121874194 
91.11276996571976, 60.406554391199634 
85.13614128334171, 59.13901643774411 
91.23813939223213, 59.64278672949089 
85.89898074842142, 58.105798190179755 
80.08664491305575, 56.98187708762925 
81.01517974162196, 56.41657690466188 
82.93470604098879, 57.83443531501899 
80.17967472978361, 54.8718974783201 
79.1053893444332, 57.67604234379735 
78.22973690445929, 56.33548163938541 
85.55173430785827, 58.93055925365172 
82.66486914495073, 57.734278610443916 
77.19039359516407, 55.52607241658725 
